Order ID,Order Date,Ship Date,Customer ID,Segment,Country/Region,City,State,Region,Product ID,Category,Sub-Category,Sales,Quantity,Discount,Profit,order_date,ship_date,Year-Month
CA-2020-152156,2020-11-08,2020-11-11,CG-12520,Consumer,United States,Henderson,Kentucky,South,FUR-BO-10001798,Furniture,Bookcases,261.96,2,0.0,41.9136,2020-11-08,2020-11-11,2020-11
CA-2020-152156,2020-11-08,2020-11-11,CG-12520,Consumer,United States,Henderson,Kentucky,South,FUR-CH-10000454,Furniture,Chairs,731.9399999999999,3,0.0,219.58199999999997,2020-11-08,2020-11-11,2020-11
CA-2020-138688,2020-06-12,2020-06-16,DV-13045,Corporate,United States,Los Angeles,California,West,OFF-LA-10000240,Office Supplies,Labels,14.62,2,0.0,6.8713999999999995,2020-06-12,2020-06-16,2020-06
US-2019-108966,2019-10-11,2019-10-18,SO-20335,Consumer,United States,Fort Lauderdale,Florida,South,FUR-TA-10000577,Furniture,Tables,957.5775,5,0.45,-383.03100000000006,2019-10-11,2019-10-18,2019-10
US-2019-108966,2019-10-11,2019-10-18,SO-20335,Consumer,United States,Fort Lauderdale,Florida,South,OFF-ST-10000760,Office Supplies,Storage,22.368000000000002,2,0.2,2.516399999999999,2019-10-11,2019-10-18,2019-10
CA-2018-115812,2018-06-09,2018-06-14,BH-11710,Consumer,United States,Los Angeles,California,West,FUR-FU-10001487,Furniture,Furnishings,48.86,7,0.0,14.169399999999996,2018-06-09,2018-06-14,2018-06
CA-2018-115812,2018-06-09,2018-06-14,BH-11710,Consumer,United States,Los Angeles,California,West,OFF-AR-10002833,Office Supplies,Art,7.28,4,0.0,1.9656000000000002,2018-06-09,2018-06-14,2018-06
CA-2018-115812,2018-06-09,2018-06-14,BH-11710,Consumer,United States,Los Angeles,California,West,TEC-PH-10002275,Technology,Phones,907.152,6,0.2,90.71520000000004,2018-06-09,2018-06-14,2018-06
CA-2018-115812,2018-06-09,2018-06-14,BH-11710,Consumer,United States,Los Angeles,California,West,OFF-BI-10003910,Office Supplies,Binders,18.504,3,0.2,5.7825,2018-06-09,2018-06-14,2018-06
CA-2018-115812,2018-06-09,2018-06-14,BH-11710,Consumer,United States,Los Angeles,California,West,OFF-AP-10002892,Office Supplies,Appliances,114.9,5,0.0,34.46999999999999,2018-06-09,2018-06-14,2018-06
CA-2018-115812,2018-06-09,2018-06-14,BH-11710,Consumer,United States,Los Angeles,California,West,FUR-TA-10001539,Furniture,Tables,1706.1840000000002,9,0.2,85.3091999999998,2018-06-09,2018-06-14,2018-06
CA-2018-115812,2018-06-09,2018-06-14,BH-11710,Consumer,United States,Los Angeles,California,West,TEC-PH-10002033,Technology,Phones,911.424,4,0.2,68.35680000000002,2018-06-09,2018-06-14,2018-06
CA-2021-114412,2021-04-15,2021-04-20,AA-10480,Consumer,United States,Concord,North Carolina,South,OFF-PA-10002365,Office Supplies,Paper,15.552000000000003,3,0.2,5.4432,2021-04-15,2021-04-20,2021-04
CA-2020-161389,2020-12-05,2020-12-10,IM-15070,Consumer,United States,Seattle,Washington,West,OFF-BI-10003656,Office Supplies,Binders,407.97600000000006,3,0.2,132.59219999999993,2020-12-05,2020-12-10,2020-12
US-2019-118983,2019-11-22,2019-11-26,HP-14815,Home Office,United States,Fort Worth,Texas,Central,OFF-AP-10002311,Office Supplies,Appliances,68.80999999999999,5,0.8,-123.858,2019-11-22,2019-11-26,2019-11
US-2019-118983,2019-11-22,2019-11-26,HP-14815,Home Office,United States,Fort Worth,Texas,Central,OFF-BI-10000756,Office Supplies,Binders,2.5439999999999996,3,0.8,-3.8160000000000016,2019-11-22,2019-11-26,2019-11
CA-2018-105893,2018-11-11,2018-11-18,PK-19075,Consumer,United States,Madison,Wisconsin,Central,OFF-ST-10004186,Office Supplies,Storage,665.88,6,0.0,13.317599999999999,2018-11-11,2018-11-18,2018-11
CA-2018-167164,2018-05-13,2018-05-15,AG-10270,Consumer,United States,West Jordan,Utah,West,OFF-ST-10000107,Office Supplies,Storage,55.5,2,0.0,9.989999999999995,2018-05-13,2018-05-15,2018-05
CA-2018-143336,2018-08-27,2018-09-01,ZD-21925,Consumer,United States,San Francisco,California,West,OFF-AR-10003056,Office Supplies,Art,8.56,2,0.0,2.4823999999999993,2018-08-27,2018-09-01,2018-08
CA-2018-143336,2018-08-27,2018-09-01,ZD-21925,Consumer,United States,San Francisco,California,West,TEC-PH-10001949,Technology,Phones,213.48000000000002,3,0.2,16.01099999999998,2018-08-27,2018-09-01,2018-08
CA-2018-143336,2018-08-27,2018-09-01,ZD-21925,Consumer,United States,San Francisco,California,West,OFF-BI-10002215,Office Supplies,Binders,22.72,4,0.2,7.383999999999999,2018-08-27,2018-09-01,2018-08
CA-2020-137330,2020-12-09,2020-12-13,KB-16585,Corporate,United States,Fremont,Nebraska,Central,OFF-AR-10000246,Office Supplies,Art,19.459999999999997,7,0.0,5.0596,2020-12-09,2020-12-13,2020-12
CA-2020-137330,2020-12-09,2020-12-13,KB-16585,Corporate,United States,Fremont,Nebraska,Central,OFF-AP-10001492,Office Supplies,Appliances,60.339999999999996,7,0.0,15.688400000000001,2020-12-09,2020-12-13,2020-12
US-2021-156909,2021-07-16,2021-07-18,SF-20065,Consumer,United States,Philadelphia,Pennsylvania,East,FUR-CH-10002774,Furniture,Chairs,71.37199999999999,2,0.3,-1.0196000000000005,2021-07-16,2021-07-18,2021-07
CA-2019-106320,2019-09-25,2019-09-30,EB-13870,Consumer,United States,Orem,Utah,West,FUR-TA-10000577,Furniture,Tables,1044.6299999999999,3,0.0,240.2649,2019-09-25,2019-09-30,2019-09
CA-2020-121755,2020-01-16,2020-01-20,EH-13945,Consumer,United States,Los Angeles,California,West,OFF-BI-10001634,Office Supplies,Binders,11.648000000000001,2,0.2,4.2224,2020-01-16,2020-01-20,2020-01
CA-2020-121755,2020-01-16,2020-01-20,EH-13945,Consumer,United States,Los Angeles,California,West,TEC-AC-10003027,Technology,Accessories,90.57000000000001,3,0.0,11.774100000000004,2020-01-16,2020-01-20,2020-01
US-2019-150630,2019-09-17,2019-09-21,TB-21520,Consumer,United States,Philadelphia,Pennsylvania,East,FUR-BO-10004834,Furniture,Bookcases,3083.4300000000003,7,0.5,-1665.0522,2019-09-17,2019-09-21,2019-09
US-2019-150630,2019-09-17,2019-09-21,TB-21520,Consumer,United States,Philadelphia,Pennsylvania,East,OFF-BI-10000474,Office Supplies,Binders,9.618000000000002,2,0.7,-7.0532,2019-09-17,2019-09-21,2019-09
US-2019-150630,2019-09-17,2019-09-21,TB-21520,Consumer,United States,Philadelphia,Pennsylvania,East,FUR-FU-10004848,Furniture,Furnishings,124.20000000000002,3,0.2,15.524999999999991,2019-09-17,2019-09-21,2019-09
US-2019-150630,2019-09-17,2019-09-21,TB-21520,Consumer,United States,Philadelphia,Pennsylvania,East,OFF-EN-10001509,Office Supplies,Envelopes,3.2640000000000002,2,0.2,1.1015999999999997,2019-09-17,2019-09-21,2019-09
US-2019-150630,2019-09-17,2019-09-21,TB-21520,Consumer,United States,Philadelphia,Pennsylvania,East,OFF-AR-10004042,Office Supplies,Art,86.304,6,0.2,9.709199999999989,2019-09-17,2019-09-21,2019-09
US-2019-150630,2019-09-17,2019-09-21,TB-21520,Consumer,United States,Philadelphia,Pennsylvania,East,OFF-BI-10001525,Office Supplies,Binders,6.858000000000001,6,0.7,-5.715,2019-09-17,2019-09-21,2019-09
